condition_type,condition_value,day_type,rank_in_group,end_station_name,return_count,return_share,total_returns_in_group,end_lat,end_lng
snow,no_snow,weekday,6,DuSable Lake Shore Dr & Monroe St,20626,0.006835242358486689,3017596,41.880958,-87.616743
snow,no_snow,weekday,7,Clinton St & Jackson Blvd,20557,0.006812376474518126,3017596,41.87831662050808,-87.64098109175531
snow,no_snow,weekday,8,Clark St & Elm St,20280,0.006720581549021142,3017596,41.90301732164141,-87.63152289470456
snow,no_snow,weekday,9,DuSable Lake Shore Dr & North Blvd,19663,0.006516114151795005,3017596,41.911722,-87.626804
snow,no_snow,weekday,10,Navy Pier,19046,0.006311646754568869,3017596,41.892278,-87.612043
snow,no_snow,weekday,11,Canal St & Adams St,18939,0.006276188064936459,3017596,41.879255,-87.639904
snow,no_snow,weekday,12,State St & Chicago Ave,18504,0.006132033579047692,3017596,41.896617200407526,-87.62857854366302
snow,no_snow,weekday,13,Franklin St & Monroe St,18106,0.006000140509200039,3017596,41.88031616332084,-87.63518440237203
snow,no_snow,weekday,14,Wells St & Concord Ln,17823,0.005906357245966657,3017596,41.912133,-87.634656
snow,no_snow,weekday,15,Streeter Dr & Grand Ave,17773,0.005889787764830017,3017596,41.892278002970286,-87.61204300164603
snow,no_snow,weekday,16,Daley Center Plaza,17650,0.005849026841233883,3017596,41.88424087537072,-87.62963348535213
snow,no_snow,weekday,17,Wells St & Elm St,17609,0.005835439866701838,3017596,41.903222,-87.634324
snow,no_snow,weekday,18,Wells St & Huron St,17197,0.005698907342135925,3017596,41.89478399980203,-87.6343724037867
snow,no_snow,weekday,19,Millennium Park,16912,0.005604461299657078,3017596,41.8810317,-87.62408432
snow,no_snow,weekday,20,Orleans St & Merchandise Mart Plaza,16328,0.005410929759981124,3017596,41.888243,-87.63638999999999
snow,no_snow,weekend,1,DuSable Lake Shore Dr & Monroe St,17139,0.014472609790101136,1184237,41.880958,-87.616743
snow,no_snow,weekend,2,Navy Pier,15595,0.01316881671489744,1184237,41.892278,-87.612043
snow,no_snow,weekend,3,DuSable Lake Shore Dr & North Blvd,14895,0.012577718818108199,1184237,41.911722,-87.626804
snow,no_snow,weekend,4,Michigan Ave & Oak St,13420,0.011332191107016585,1184237,41.90096039009614,-87.62377663865593
snow,no_snow,weekend,5,Theater on the Lake,12416,0.010484387837907446,1184237,41.926277,-87.630834
snow,no_snow,weekend,6,Streeter Dr & Grand Ave,11957,0.010096796502727072,1184237,41.892278002970286,-87.61204300164603
snow,no_snow,weekend,7,Millennium Park,10272,0.008673939422598686,1184237,41.8810317,-87.62408432
snow,no_snow,weekend,8,Wells St & Concord Ln,8992,0.007593074697041217,1184237,41.912133,-87.634656
snow,no_snow,weekend,9,Clark St & Lincoln Ave,8760,0.007397167965533926,1184237,41.915689,-87.6346
snow,no_snow,weekend,10,Dusable Harbor,8736,0.007376901751929723,1184237,41.88697599432289,-87.61281299950515
snow,no_snow,weekend,11,Kingsbury St & Kinzie St,8613,0.007273037407208185,1184237,41.889172621529056,-87.63849963502554
snow,no_snow,weekend,12,Clark St & Armitage Ave,8544,0.0072147720430961034,1184237,41.918305755768,-87.63628183370878
snow,no_snow,weekend,13,Clark St & Elm St,8317,0.007023087439423021,1184237,41.90301732164141,-87.63152289470456
snow,no_snow,weekend,14,Shedd Aquarium,8263,0.006977488458813565,1184237,41.86722596201104,-87.61535540410257
snow,no_snow,weekend,15,Wells St & Elm St,7914,0.006682783935985787,1184237,41.903222,-87.634324
snow,no_snow,weekend,16,Montrose Harbor,7697,0.006499543587981122,1184237,41.963982,-87.638181
snow,no_snow,weekend,17,DuSable Lake Shore Dr & Diversey Pkwy,6998,0.0059092901167587236,1184237,41.932588,-87.636427
snow,no_snow,weekend,18,Indiana Ave & Roosevelt Rd,6891,0.0058189365811066535,1184237,41.86788801019692,-87.6230410031074
snow,no_snow,weekend,19,State St & Chicago Ave,6733,0.005685517341545653,1184237,41.896617200407526,-87.62857854366302
snow,no_snow,weekend,20,McClurg Ct & Ohio St,6547,0.005528454186113084,1184237,41.892592119709725,-87.61728912591934
snow,snowy,weekday,1,Canal St & Madison St,1233,0.014555714268849827,84709,41.882409,-87.639767
snow,snowy,weekday,2,Clinton St & Washington Blvd,1180,0.013930042852589454,84709,41.883378993326986,-87.64117008864396
snow,snowy,weekday,3,Kingsbury St & Kinzie St,1092,0.012891192199176003,84709,41.889172621529056,-87.63849963502554
snow,snowy,weekday,4,Clinton St & Madison St,973,0.011486382792855541,84709,41.88275006331282,-87.64119022354309
snow,snowy,weekday,5,University Ave & 57th St,861,0.010164209233965694,84709,41.79147800295527,-87.59986050810642
snow,snowy,weekday,6,Clinton St & Jackson Blvd,856,0.010105183628658112,84709,41.87831662050808,-87.64098109175531
snow,snowy,weekday,7,Canal St & Adams St,785,0.00926702003329044,84709,41.879255,-87.639904
snow,snowy,weekday,8,State St & Chicago Ave,680,0.00802748232183121,84709,41.896617200407526,-87.62857854366302
snow,snowy,weekday,9,Clinton St & Lake St,642,0.007578887721493584,84709,41.885637,-87.641823
snow,snowy,weekday,10,Ellis Ave & 60th St,620,0.007319175058140222,84709,41.78509714636001,-87.6010727606
snow,snowy,weekday,11,Daley Center Plaza,599,0.007071267515848375,84709,41.88424087537072,-87.62963348535213
snow,snowy,weekday,12,Franklin St & Monroe St,597,0.0070476572737253424,84709,41.88031616332084,-87.63518440237203
snow,snowy,weekday,13,LaSalle St & Jackson Blvd,595,0.007024047031602309,84709,41.878166,-87.631929
snow,snowy,weekday,14,Wells St & Hubbard St,571,0.0067407241261259136,84709,41.889906,-87.634266
snow,snowy,weekday,15,Kingsbury St & Erie St,555,0.00655184218914165,84709,41.8939139,-87.6417358
snow,snowy,weekday,16,Orleans St & Merchandise Mart Plaza,537,0.006339350010034353,84709,41.888243,-87.63638999999999
snow,snowy,weekday,17,Ellis Ave & 55th St,536,0.006327544888972836,84709,41.79430062054,-87.6014497734
snow,snowy,weekday,18,Clark St & Elm St,530,0.006256714162603738,84709,41.90301732164141,-87.63152289470456
snow,snowy,weekday,19,Wells St & Elm St,515,0.00607963734668099,84709,41.903222,-87.634324
snow,snowy,weekday,20,Wells St & Concord Ln,493,0.005819924683327628,84709,41.912133,-87.634656
snow,snowy,weekend,1,University Ave & 57th St,310,0.013497627030086647,22967,41.79147800295527,-87.59986050810642
snow,snowy,weekend,2,Kingsbury St & Kinzie St,306,0.013323464100666173,22967,41.889172621529056,-87.63849963502554
snow,snowy,weekend,3,Ellis Ave & 60th St,255,0.011102886750555145,22967,41.78509714636001,-87.6010727606
snow,snowy,weekend,4,Clark St & Elm St,238,0.010362694300518135,22967,41.90301732164141,-87.63152289470456
snow,snowy,weekend,5,State St & Chicago Ave,233,0.010144990638742543,22967,41.896617200407526,-87.62857854366302
snow,snowy,weekend,6,Wells St & Concord Ln,227,0.009883746244611835,22967,41.912133,-87.634656
snow,snowy,weekend,7,Wells St & Elm St,199,0.008664605738668524,22967,41.903222,-87.634324
snow,snowy,weekend,8,Ellis Ave & 55th St,196,0.00853398354160317,22967,41.79430062054,-87.6014497734
snow,snowy,weekend,9,Blackstone Ave & 59th St,161,0.007010057909174032,22967,41.787877,-87.590461
snow,snowy,weekend,10,New St & Illinois St,157,0.00683589497975356,22967,41.89084704062381,-87.61861681938171
snow,snowy,weekend,11,Wabash Ave & Grand Ave,152,0.0066181913179779684,22967,41.891466,-87.62676099999999
snow,snowy,weekend,12,Broadway & Waveland Ave,144,0.006269865459137023,22967,41.949074,-87.648636
snow,snowy,weekend,13,Wells St & Hubbard St,141,0.006139243262071668,22967,41.889906,-87.634266
snow,snowy,weekend,14,Dearborn St & Erie St,141,0.006139243262071668,22967,41.893992,-87.629318
snow,snowy,weekend,15,Wells St & Huron St,140,0.00609570252971655,22967,41.89478399980203,-87.6343724037867
snow,snowy,weekend,16,Broadway & Barry Ave,136,0.005921539600296077,22967,41.93758231600629,-87.6440978050232
snow,snowy,weekend,17,Desplaines St & Kinzie St,130,0.005660295206165368,22967,41.888716036,-87.6444478533
snow,snowy,weekend,18,Halsted St & Clybourn Ave,128,0.005573213741455131,22967,41.909668,-87.648128
snow,snowy,weekend,19,Clinton St & Madison St,124,0.005399050812034658,22967,41.88275006331282,-87.64119022354309
snow,snowy,weekend,20,Clark St & Wrightwood Ave,121,0.005268428614969304,22967,41.929546,-87.643118
